,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,4036.657035686417,1397.1370964056027,351.9090978599172,-126.81448890658044,-359.8819591972356,-472.27060860385404,-520.2236317552487,-531.7580601253801,-521.9157248459824,-499.24513053607853,-468.8229550194319,-433.7689019435678,-396.05123307021324,-356.9364043778112,-317.2504376939861,-277.53616108095173,-238.15061737761044,-199.32694641909916,-161.21456139661285,-123.90572739434131
1,4302.762659745922,1539.2437980113436,440.1222569834074,-66.7744074781549,-316.39434928981996,-439.32680535094573,-494.4068808051061,-510.98294544426403,-504.8376572396747,-484.95837707303855,-456.6951769250649,-423.34527669557724,-386.9962674480546,-348.9972200566971,-310.2328227998754,-271.28849391878464,-232.5528008001685,-194.28262115731167,-156.64551833903943,-119.74782701841156
2,4584.348723202062,1689.6174206558212,533.4671320134041,-3.241551910863109,-270.3768893949957,-404.46652794776776,-467.08826513521444,-488.99925839675825,-486.7660894338673,-469.8405054329929,-443.8618769745957,-412.315267048478,-377.41453788752426,-340.59618130399735,-302.8069648915062,-264.6773747130311,-226.62933661348555,-188.94484711259065,-151.81067558481033,-115.34804477690938
3,4881.4152260547835,1848.2579643390054,631.9437229498897,63.7840777952822,-221.82957951277194,-367.6897763943273,-438.2677847455792,-465.80699898286707,-467.7010214285637,-453.8915156159447,-430.3230551680267,-400.6788730022722,-367.306044388624,-331.7332881197137,-294.9728639688798,-257.70280346369236,-220.38022481756266,-183.3136242849372,-146.71003313392652,-110.70638066983558
4,5193.962168304148,2015.165429060929,735.5520297928836,134.3024816402949,-170.7524196431384,-328.9965506906166,-407.9454396361946,-441.40616720258583,-447.6424532237601,-437.11140762189046,-416.07871150535533,-388.4360945569575,-356.67078695135183,-322.4085405038443,-286.73052003199473,-250.364780170767,-213.8054654123986,-177.38895267435012,-141.34359098638689,-105.82283469718928
5,5521.989549950087,2190.339814821557,844.292052542364,208.3136596241602,-117.14540978610626,-288.38685083664393,-376.1212298070668,-415.79676305591966,-426.59038481946067,-419.5001814508339,-401.12884598658445,-375.58693171253645,-345.50876557571,-312.62193845639104,-278.0799330808526,-242.66330483425656,-206.90505839799476,-171.17083228083067,-135.71134914219263,-100.69740685897148
6,5865.497370992687,2373.7811216209334,958.1637911983591,285.8176117468968,-61.008549941661386,-245.8606768323989,-342.79515525818783,-388.97878654286205,-404.54481621566003,-401.05783710277046,-385.4734586117102,-362.1313844690058,-333.8199802616956,-302.37348197735145,-269.0211031154513,-234.5983774541591,-199.67900377434938,-164.65926310437726,-129.81330760134227,-95.33009715518085
7,6224.48563143186,2565.489349459013,1077.16724576084,366.81433800848527,-2.341840109818122,-201.41802867789215,-307.96721598956606,-360.9522376634196,-381.5057474123638,-381.7843745777048,-369.11254938073665,-348.06945282636894,-321.60443100931167,-291.6631710667282,-259.554030135793,-226.16999803047665,-192.12730154146425,-157.85424514499155,-123.64946636383732,-89.72090558581877
8,6598.954331267672,2765.464498335829,1201.3024162298282,451.30383840894024,58.854719709433994,-155.05890637311563,-271.63741200119523,-331.7171164175875,-357.4731784095677,-361.67979387563344,-352.04611829366075,-333.40113678462325,-308.8621178185559,-280.49100572451925,-249.67871414187616,-217.37816656320766,-184.24995169933803,-150.7557784026723,-117.21982542967666,-83.8698321508842
9,6988.90347050007,2973.7065682513553,1330.5693026053061,539.2861129482501,122.58112951608655,-106.78330991807593,-233.80574329308024,-301.2734228053696,-332.44710920727505,-340.7440949965591,-334.27416535048496,-318.1264363437709,-295.59304068943004,-268.8569859507262,-239.39515513370205,-208.22288305235335,-176.04695424797183,-143.36386287742047,-110.52438479886118,-77.77687685037799
